Month,Sub-Category,Region,Category,Sales,Predicted_Sales,Residual,APE,Period_Type,Lower_10,Upper_90
2017-01-01,Accessories,Central,Technology,902.446,408.68523557766355,493.7607644223365,54.71360773080456,Backtest (2017),,
2017-02-01,Accessories,Central,Technology,175.888,1067.478239838326,-891.590239838326,506.9079413253468,Backtest (2017),,
2017-03-01,Accessories,Central,Technology,311.748,904.3199475088142,-592.5719475088142,190.08043275620508,Backtest (2017),,
2017-04-01,Accessories,Central,Technology,299.052,744.9268937259465,-445.87489372594644,149.0961082774723,Backtest (2017),,
2017-05-01,Accessories,Central,Technology,600.712,501.78587138885024,98.92612861114975,16.46814590205452,Backtest (2017),,
2017-06-01,Accessories,Central,Technology,256.38,498.63011985279593,-242.25011985279593,94.48869640876664,Backtest (2017),,
2017-07-01,Accessories,Central,Technology,949.6700000000001,818.6182487148296,131.05175128517044,13.799714773044366,Backtest (2017),,
2017-08-01,Accessories,Central,Technology,303.004,1273.3461581480092,-970.3421581480092,320.2407090823914,Backtest (2017),,
2017-09-01,Accessories,Central,Technology,3810.13,1613.7641210502152,2196.365878949785,57.6454314931455,Backtest (2017),,
2017-10-01,Accessories,Central,Technology,957.23,1591.274975062349,-634.0449750623491,66.2374742812437,Backtest (2017),,
2017-11-01,Accessories,Central,Technology,730.442,2815.086411403071,-2084.644411403071,285.3949268255482,Backtest (2017),,
2017-12-01,Accessories,Central,Technology,1622.962,1479.6393591014817,143.32264089851833,8.830930169561476,Backtest (2017),,
2017-01-01,Accessories,East,Technology,521.886,335.97482534168586,185.9111746583141,35.62294728318333,Backtest (2017),,
2017-02-01,Accessories,East,Technology,1319.8,2.013109848739915,1317.78689015126,99.84746856730263,Backtest (2017),,
2017-03-01,Accessories,East,Technology,665.604,883.1581362526655,-217.55413625266544,32.685220679663196,Backtest (2017),,
2017-04-01,Accessories,East,Technology,197.09,658.3524816459503,-461.2624816459503,234.0364714830536,Backtest (2017),,
2017-05-01,Accessories,East,Technology,633.388,649.2912694025996,-15.903269402599562,2.510825813340253,Backtest (2017),,
