Customer ID,Recency,Frequency,Monetary,Total_Profit,Avg_Profit_Margin,Avg_Discount,Pct_Discounted,N_Categories,N_SubCategories,Avg_Order_Value,Lifetime_Days,Loss_Rate,Segment,Monetary_log,Cluster,Cluster_Name,Customer_Share,Sales_Share,Profit_Share
BS-11365,559,5,10501.653,2616.0643999999998,0.27,0.011111111111111112,0.1111111111111111,3,7,1166.8503333333333,778,0.0,Corporate,9.259383170897435,1,At Risk,0.11475409836065574,0.07060197456082244,0.06430898369918349
PF-19120,836,4,9062.864,-614.2943000000001,0.05497076023391812,0.12105263157894738,0.47368421052631576,3,10,476.99284210526315,500,0.21052631578947367,Consumer,9.112050798182212,1,At Risk,0.11475409836065574,0.07060197456082244,0.06430898369918349
KD-16270,485,5,8282.358,1107.6952000000003,0.006458333333333349,0.1875,0.5,3,10,517.647375,661,0.1875,Consumer,9.022003720719434,1,At Risk,0.11475409836065574,0.07060197456082244,0.06430898369918349
RH-19510,468,6,6979.18,1289.4535,0.2889583333333333,0.03333333333333333,0.16666666666666666,3,8,581.5983333333334,673,0.0,Home Office,8.85082998338953,1,At Risk,0.11475409836065574,0.07060197456082244,0.06430898369918349
VD-21670,582,6,6442.254,1617.7874000000002,0.21828125,0.07500000000000001,0.375,3,9,402.640875,663,0.0625,Consumer,8.7707889709908,1,At Risk,0.11475409836065574,0.07060197456082244,0.06430898369918349
MC-17425,400,5,4432.138,1802.3903,0.30625,0.12,0.4,3,7,443.2138,911,0.1,Corporate,8.396862964420682,1,At Risk,0.11475409836065574,0.07060197456082244,0.06430898369918349
CM-12715,1036,4,3984.4524,176.3108,-0.22489064856711913,0.30923076923076925,0.8461538461538461,3,8,306.49633846153847,359,0.3076923076923077,Corporate,8.290406110502214,1,At Risk,0.11475409836065574,0.07060197456082244,0.06430898369918349
PW-19240,465,7,3922.4150000000004,1290.354,0.13826622315592904,0.1708333333333333,0.5,3,8,326.8679166666667,674,0.3333333333333333,Consumer,8.274717727002535,1,At Risk,0.11475409836065574,0.07060197456082244,0.06430898369918349
JS-15880,535,5,3868.02,564.9798000000001,0.15763071895424838,0.14666666666666667,0.5555555555555556,3,7,429.78,828,0.2222222222222222,Consumer,8.260756523981543,1,At Risk,0.11475409836065574,0.07060197456082244,0.06430898369918349
SC-20020,782,5,3362.9636,-317.0508,-0.06875144175317185,0.21882352941176472,0.6470588235294118,3,9,197.8213882352941,617,0.29411764705882354,Consumer,8.120875200582454,1,At Risk,0.11475409836065574,0.07060197456082244,0.06430898369918349
BS-11665,583,3,3288.1099999999997,238.73680000000002,-0.004545454545454546,0.18181818181818182,0.5454545454545454,3,6,298.91909090909087,704,0.18181818181818182,Consumer,8.098372290445845,1,At Risk,0.11475409836065574,0.07060197456082244,0.06430898369918349
LC-16960,437,4,3246.626,299.48019999999997,-0.06071428571428572,0.2857142857142857,0.7142857142857143,2,5,463.8037142857143,605,0.2857142857142857,Home Office,8.085679546868302,1,At Risk,0.11475409836065574,0.07060197456082244,0.06430898369918349
MP-17470,720,7,3206.132,600.2873,0.2623979591836735,0.12142857142857144,0.5714285714285714,3,8,229.00942857142857,652,0.07142857142857142,Home Office,8.073132358808689,1,At Risk,0.11475409836065574,0.07060197456082244,0.06430898369918349
IM-15055,410,3,2872.63,975.7701,0.37875,0.1,0.5,3,4,718.1575,1028,0.0,Consumer,7.963331317919756,1,At Risk,0.11475409836065574,0.07060197456082244,0.06430898369918349
CC-12685,800,4,2854.1150000000002,850.1591,-0.007777777777777772,0.25,0.5833333333333334,2,6,237.8429166666667,580,0.25,Consumer,7.956867401489043,1,At Risk,0.11475409836065574,0.07060197456082244,0.06430898369918349
JL-15850,615,6,2725.256,779.9046,0.0837121212121212,0.23636363636363636,0.6363636363636364,3,7,247.75054545454543,643,0.2727272727272727,Consumer,7.910684518338726,1,At Risk,0.11475409836065574,0.07060197456082244,0.06430898369918349
DE-13255,720,5,2550.874,464.47139999999996,0.2149074074074074,0.1111111111111111,0.4444444444444444,3,7,283.43044444444445,507,0.1111111111111111,Home Office,7.84458327020504,1,At Risk,0.11475409836065574,0.07060197456082244,0.06430898369918349
DF-13135,701,3,2390.534,-259.3097,-0.17416666666666666,0.2833333333333334,0.6666666666666666,3,5,398.42233333333337,483,0.3333333333333333,Consumer,7.779690280037898,1,At Risk,0.11475409836065574,0.07060197456082244,0.06430898369918349
JG-15115,759,3,2358.676,684.1911,0.04619047619047619,0.24285714285714288,0.8571428571428571,3,6,336.9537142857143,438,0.14285714285714285,Consumer,7.766279600459184,1,At Risk,0.11475409836065574,0.07060197456082244,0.06430898369918349
